Epoch,Train MSE,Validation MSE,Train Accuracy,Validation Accuracy,Train Log Loss,Validation Log Loss,Train R²,Validation R²
100,0.238652,0.240266,0.574689,0.564465,1.340004,1.346515,0.233596,0.209710
200,0.236441,0.239169,0.574689,0.564906,1.329418,1.340656,0.233291,0.208526
300,0.236419,0.239279,0.574689,0.565179,1.329181,1.340995,0.233194,0.207992
400,0.236414,0.239290,0.576763,0.565515,1.329147,1.341031,0.233228,0.207931
500,0.236409,0.239290,0.576763,0.565851,1.329124,1.341027,0.233267,0.207940
600,0.236405,0.239288,0.576763,0.566061,1.329103,1.341018,0.233304,0.207957
700,0.236401,0.239286,0.576763,0.566418,1.329084,1.341010,0.233338,0.207973
800,0.236397,0.239285,0.576763,0.566711,1.329065,1.341002,0.233371,0.207987
900,0.236393,0.239283,0.576763,0.566753,1.329047,1.340995,0.233403,0.208000
1000,0.236390,0.239282,0.576763,0.566900,1.329030,1.340989,0.233435,0.208012
1100,0.236386,0.239281,0.576763,0.566900,1.329012,1.340983,0.233465,0.208023
1200,0.236383,0.239280,0.576763,0.566837,1.328995,1.340978,0.233496,0.208033
1300,0.236379,0.239279,0.576763,0.566879,1.328978,1.340973,0.233526,0.208042
1400,0.236376,0.239278,0.576763,0.566900,1.328960,1.340968,0.233557,0.208050
1500,0.236372,0.239278,0.574689,0.567005,1.328943,1.340964,0.233589,0.208058
1600,0.236368,0.239277,0.574689,0.566921,1.328925,1.340960,0.233621,0.208065
1700,0.236364,0.239276,0.574689,0.566795,1.328906,1.340956,0.233654,0.208071
1800,0.236361,0.239276,0.574689,0.566879,1.328887,1.340953,0.233688,0.208077
1900,0.236357,0.239275,0.574689,0.566732,1.328867,1.340950,0.233723,0.208082
2000,0.236352,0.239275,0.576763,0.566879,1.328847,1.340947,0.233760,0.208086
2100,0.236348,0.239274,0.576763,0.566921,1.328825,1.340944,0.233799,0.208090
2200,0.236343,0.239274,0.576763,0.566900,1.328802,1.340941,0.233840,0.208094
2300,0.236338,0.239274,0.576763,0.566900,1.328778,1.340938,0.233883,0.208097
2400,0.236333,0.239273,0.576763,0.566858,1.328753,1.340936,0.233928,0.208099
2500,0.236328,0.239273,0.576763,0.566858,1.328726,1.340933,0.233976,0.208101
2600,0.236322,0.239273,0.576763,0.566837,1.328698,1.340931,0.234027,0.208103
2700,0.236316,0.239273,0.576763,0.566732,1.328667,1.340929,0.234082,0.208104
2800,0.236309,0.239273,0.576763,0.566732,1.328635,1.340926,0.234140,0.208104
2900,0.236302,0.239273,0.576763,0.566606,1.328600,1.340924,0.234202,0.208104
3000,0.236294,0.239273,0.578838,0.566313,1.328563,1.340922,0.234268,0.208104
3100,0.236286,0.239273,0.578838,0.566292,1.328523,1.340920,0.234338,0.208103
3200,0.236278,0.239273,0.578838,0.566250,1.328481,1.340917,0.234414,0.208102
3300,0.236269,0.239273,0.580913,0.566355,1.328436,1.340915,0.234494,0.208099
3400,0.236259,0.239274,0.582988,0.566397,1.328387,1.340912,0.234579,0.208097
3500,0.236249,0.239274,0.582988,0.566250,1.328335,1.340910,0.234671,0.208094
3600,0.236238,0.239275,0.582988,0.566271,1.328280,1.340907,0.234768,0.208090
3700,0.236226,0.239275,0.582988,0.566481,1.328220,1.340904,0.234872,0.208086
3800,0.236213,0.239276,0.582988,0.566460,1.328157,1.340901,0.234982,0.208081
3900,0.236200,0.239277,0.582988,0.566376,1.328089,1.340897,0.235100,0.208076
4000,0.236185,0.239277,0.585062,0.566355,1.328016,1.340893,0.235226,0.208070
4100,0.236170,0.239278,0.585062,0.566439,1.327939,1.340889,0.235360,0.208063
4200,0.236153,0.239279,0.585062,0.566732,1.327856,1.340885,0.235503,0.208057
4300,0.236136,0.239281,0.585062,0.566963,1.327767,1.340880,0.235657,0.208049
4400,0.236117,0.239282,0.585062,0.566816,1.327671,1.340874,0.235821,0.208042
4500,0.236097,0.239283,0.585062,0.566900,1.327569,1.340868,0.235997,0.208035
4600,0.236075,0.239284,0.580913,0.567047,1.327459,1.340861,0.236187,0.208027
4700,0.236052,0.239286,0.580913,0.567194,1.327340,1.340852,0.236391,0.208020
4800,0.236026,0.239287,0.578838,0.567215,1.327212,1.340843,0.236612,0.208013
4900,0.235999,0.239289,0.578838,0.567446,1.327073,1.340832,0.236851,0.208006
5000,0.235969,0.239290,0.578838,0.567551,1.326923,1.340820,0.237110,0.208000
5100,0.235936,0.239292,0.578838,0.567719,1.326759,1.340806,0.237393,0.207996
5200,0.235900,0.239293,0.578838,0.568055,1.326580,1.340789,0.237701,0.207993
5300,0.235861,0.239294,0.580913,0.568118,1.326385,1.340770,0.238039,0.207992
5400,0.235818,0.239295,0.585062,0.568538,1.326172,1.340747,0.238409,0.207993
5500,0.235771,0.239296,0.585062,0.568832,1.325938,1.340721,0.238815,0.207997
5600,0.235720,0.239297,0.585062,0.569188,1.325681,1.340691,0.239262,0.208005
5700,0.235663,0.239297,0.585062,0.569503,1.325399,1.340656,0.239752,0.208017
5800,0.235600,0.239297,0.578838,0.570175,1.325090,1.340615,0.240290,0.208034
5900,0.235532,0.239296,0.578838,0.570742,1.324751,1.340567,0.240879,0.208058
6000,0.235457,0.239295,0.580913,0.571498,1.324380,1.340512,0.241523,0.208089
6100,0.235375,0.239293,0.582988,0.572169,1.323975,1.340448,0.242223,0.208130
6200,0.235286,0.239289,0.585062,0.572190,1.323536,1.340374,0.242981,0.208181
6300,0.235191,0.239285,0.580913,0.572526,1.323062,1.340289,0.243797,0.208246
6400,0.235088,0.239279,0.582988,0.573135,1.322552,1.340192,0.244670,0.208326
6500,0.234979,0.239271,0.582988,0.573618,1.322007,1.340080,0.245597,0.208425
6600,0.234864,0.239261,0.582988,0.573681,1.321429,1.339953,0.246574,0.208546
6700,0.234742,0.239248,0.587137,0.573849,1.320819,1.339809,0.247597,0.208692
6800,0.234616,0.239232,0.587137,0.574646,1.320181,1.339646,0.248660,0.208866
6900,0.234484,0.239213,0.587137,0.574835,1.319517,1.339463,0.249756,0.209072
7000,0.234349,0.239191,0.587137,0.575675,1.318831,1.339259,0.250880,0.209313
7100,0.234211,0.239164,0.587137,0.576431,1.318126,1.339034,0.252024,0.209590
7200,0.234070,0.239134,0.587137,0.576850,1.317404,1.338787,0.253183,0.209904
7300,0.233927,0.239099,0.591286,0.577207,1.316670,1.338519,0.254351,0.210256
7400,0.233784,0.239060,0.591286,0.577354,1.315926,1.338229,0.255522,0.210645
7500,0.233639,0.239017,0.595436,0.577627,1.315175,1.337919,0.256691,0.211069
7600,0.233495,0.238970,0.595436,0.577942,1.314420,1.337590,0.257854,0.211525
7700,0.233351,0.238920,0.591286,0.578425,1.313663,1.337243,0.259007,0.212013
7800,0.233207,0.238867,0.597510,0.578173,1.312906,1.336881,0.260148,0.212527
7900,0.233065,0.238810,0.597510,0.578047,1.312151,1.336503,0.261273,0.213067
8000,0.232924,0.238751,0.601660,0.578404,1.311399,1.336113,0.262383,0.213629
8100,0.232784,0.238689,0.603734,0.578467,1.310651,1.335710,0.263475,0.214212
8200,0.232646,0.238625,0.607884,0.578656,1.309908,1.335296,0.264551,0.214814
8300,0.232509,0.238559,0.614108,0.578320,1.309169,1.334871,0.265612,0.215434
8400,0.232374,0.238490,0.609959,0.577984,1.308433,1.334437,0.266659,0.216073
8500,0.232238,0.238418,0.612033,0.577648,1.307700,1.333991,0.267697,0.216729
8600,0.232103,0.238344,0.607884,0.577228,1.306969,1.333535,0.268729,0.217407
8700,0.231968,0.238267,0.605809,0.576934,1.306235,1.333066,0.269761,0.218107
8800,0.231831,0.238186,0.605809,0.576808,1.305498,1.332583,0.270799,0.218834
8900,0.231692,0.238100,0.605809,0.576787,1.304751,1.332082,0.271852,0.219594
9000,0.231549,0.238010,0.605809,0.576515,1.303991,1.331560,0.272928,0.220393
9100,0.231402,0.237913,0.607884,0.576368,1.303211,1.331012,0.274038,0.221241
9200,0.231248,0.237809,0.605809,0.575612,1.302405,1.330432,0.275194,0.222148
9300,0.231086,0.237696,0.607884,0.575507,1.301566,1.329813,0.276409,0.223127
9400,0.230914,0.237571,0.612033,0.574982,1.300687,1.329146,0.277693,0.224191
9500,0.230732,0.237434,0.614108,0.574646,1.299759,1.328423,0.279057,0.225356
9600,0.230537,0.237282,0.616183,0.573870,1.298778,1.327635,0.280509,0.226635
9700,0.230329,0.237113,0.614108,0.572421,1.297737,1.326773,0.282053,0.228043
9800,0.230108,0.236927,0.612033,0.570931,1.296634,1.325831,0.283690,0.229587
9900,0.229874,0.236722,0.607884,0.568916,1.295468,1.324804,0.285417,0.231276
10000,0.229627,0.236499,0.599585,0.567173,1.294238,1.323689,0.287230,0.233111
10100,0.229367,0.236256,0.593361,0.564969,1.292945,1.322485,0.289123,0.235093
10200,0.229096,0.235993,0.591286,0.562891,1.291589,1.321189,0.291097,0.237224
10300,0.228811,0.235710,0.591286,0.560960,1.290168,1.319800,0.293153,0.239504
10400,0.228513,0.235406,0.593361,0.559196,1.288675,1.318313,0.295302,0.241941
