Epoch,Train MSE,Validation MSE,Train Accuracy,Validation Accuracy,Train Log Loss,Validation Log Loss,Train R²,Validation R²
100,0.238610,0.240806,0.553942,0.572925,1.339426,1.348533,0.221787,0.194910
200,0.237623,0.239739,0.553942,0.570910,1.334428,1.343375,0.222673,0.202787
300,0.237523,0.239721,0.551867,0.570469,1.333948,1.343272,0.223565,0.202996
400,0.237425,0.239716,0.556017,0.569923,1.333482,1.343227,0.224437,0.203077
500,0.237313,0.239715,0.558091,0.569524,1.332949,1.343197,0.225438,0.203113
600,0.237173,0.239719,0.560166,0.569021,1.332275,1.343178,0.226692,0.203103
700,0.236994,0.239731,0.560166,0.567950,1.331396,1.343166,0.228293,0.203032
800,0.236774,0.239755,0.568465,0.567131,1.330286,1.343166,0.230250,0.202856
900,0.236530,0.239796,0.570539,0.566334,1.329002,1.343185,0.232401,0.202515
1000,0.236300,0.239851,0.572614,0.566040,1.327708,1.343204,0.234420,0.202031
1100,0.236116,0.239892,0.582988,0.565725,1.326572,1.343123,0.236036,0.201651
1200,0.235976,0.239877,0.585062,0.565011,1.325629,1.342799,0.237275,0.201759
1300,0.235853,0.239781,0.582988,0.564507,1.324791,1.342147,0.238366,0.202599
1400,0.235722,0.239609,0.580913,0.563374,1.323938,1.341186,0.239537,0.204157
1500,0.235560,0.239379,0.580913,0.560855,1.322949,1.339975,0.240971,0.206270
1600,0.235345,0.239106,0.580913,0.559175,1.321698,1.338552,0.242842,0.208799
1700,0.235057,0.238796,0.574689,0.556216,1.320047,1.336900,0.245323,0.211705
1800,0.234677,0.238444,0.568465,0.553382,1.317878,1.334972,0.248549,0.215010
1900,0.234192,0.238048,0.560166,0.548701,1.315125,1.332738,0.252564,0.218700
2000,0.233604,0.237612,0.545643,0.543831,1.311801,1.330202,0.257310,0.222704
2100,0.232928,0.237275,0.545643,0.541605,1.307953,1.327920,0.262553,0.225686
2200,0.233787,0.240270,0.576763,0.562576,1.309534,1.338717,0.254694,0.201495
2300,0.232595,0.238884,0.585062,0.568895,1.303894,1.332341,0.263928,0.212706
2400,0.231843,0.238351,0.585062,0.568769,1.299949,1.329446,0.269595,0.217580
2500,0.230906,0.237528,0.593361,0.569713,1.295468,1.325574,0.276532,0.224689
2600,0.229823,0.236369,0.605809,0.569734,1.290739,1.320635,0.284386,0.234325
2700,0.228854,0.235242,0.589212,0.567215,1.286813,1.316048,0.291174,0.243512
2800,0.228169,0.234544,0.587137,0.569314,1.284277,1.313325,0.295784,0.249227
2900,0.227707,0.234204,0.585062,0.570952,1.282767,1.312147,0.298796,0.252169
3000,0.227359,0.233986,0.591286,0.574226,1.281720,1.311486,0.301039,0.254176
3100,0.227070,0.233798,0.593361,0.577501,1.280883,1.310946,0.302898,0.255934
3200,0.226820,0.233636,0.603734,0.581301,1.280184,1.310518,0.304514,0.257495
3300,0.226598,0.233507,0.603734,0.585415,1.279603,1.310239,0.305953,0.258827
3400,0.226397,0.233404,0.605809,0.588417,1.279126,1.310104,0.307273,0.259970
3500,0.226211,0.233323,0.605809,0.591356,1.278744,1.310095,0.308510,0.260976
3600,0.226035,0.233258,0.612033,0.594127,1.278448,1.310197,0.309695,0.261880
3700,0.225860,0.233200,0.616183,0.596457,1.278206,1.310375,0.310879,0.262741
3800,0.225673,0.233133,0.616183,0.598955,1.277949,1.310556,0.312149,0.263659
3900,0.225449,0.233031,0.620332,0.601516,1.277556,1.310612,0.313640,0.264785
4000,0.225158,0.232855,0.620332,0.604895,1.276843,1.310338,0.315522,0.266341
4100,0.224772,0.232550,0.626556,0.609262,1.275605,1.309452,0.317951,0.268615
4200,0.224287,0.232086,0.628631,0.615958,1.273702,1.307722,0.320933,0.271778
4300,0.223709,0.231583,0.639004,0.618918,1.270915,1.305474,0.324446,0.275136
4400,0.222825,0.231138,0.643154,0.616714,1.266078,1.302876,0.329772,0.278107
4500,0.221178,0.230294,0.636929,0.610332,1.257479,1.298115,0.339549,0.283297
4600,0.219245,0.228598,0.636929,0.606847,1.247568,1.289786,0.351032,0.293700
4700,0.217569,0.227031,0.636929,0.606847,1.239054,1.282299,0.360757,0.303652
4800,0.216077,0.225775,0.636929,0.611025,1.231833,1.276539,0.369145,0.311638
4900,0.214388,0.224528,0.639004,0.614572,1.224305,1.271196,0.378590,0.319388
5000,0.211479,0.222402,0.636929,0.618813,1.211527,1.262087,0.394992,0.332255
5100,0.211023,0.224480,0.591286,0.570511,1.206609,1.269413,0.395093,0.321904
5200,0.206052,0.219856,0.620332,0.581007,1.186762,1.252431,0.420524,0.347590
5300,0.201803,0.217185,0.630705,0.588396,1.168234,1.240707,0.439953,0.362796
5400,0.200203,0.217573,0.645228,0.594336,1.159133,1.240934,0.446531,0.362231
5500,0.198067,0.217297,0.659751,0.606092,1.148092,1.238429,0.455851,0.365272
5600,0.194671,0.216391,0.697095,0.627734,1.131613,1.233417,0.470496,0.371749
5700,0.189781,0.213107,0.709544,0.649733,1.108053,1.218044,0.491031,0.388403
5800,0.184955,0.208823,0.709544,0.661636,1.083526,1.197629,0.510609,0.408757
5900,0.181068,0.205449,0.713693,0.668542,1.063220,1.181214,0.525820,0.424499
6000,0.178140,0.203551,0.711618,0.670599,1.047689,1.170994,0.536980,0.433461
6100,0.176237,0.203031,0.717842,0.665435,1.037103,1.166247,0.544086,0.436387
6200,0.173195,0.200794,0.726141,0.664323,1.022682,1.154810,0.555375,0.446302
6300,0.168519,0.196745,0.732365,0.669046,1.001934,1.136626,0.572307,0.463417
6400,0.163753,0.192537,0.742739,0.673454,0.980936,1.117908,0.589211,0.480626
6500,0.159808,0.188519,0.757261,0.679877,0.962140,1.099512,0.602503,0.496741
6600,0.156592,0.185786,0.759336,0.685650,0.946977,1.087443,0.612985,0.507612
6700,0.154102,0.183339,0.775934,0.716361,0.932689,1.075678,0.621423,0.516972
6800,0.151681,0.182377,0.767635,0.715269,0.920764,1.069664,0.629686,0.520506
6900,0.149728,0.181640,0.778008,0.713863,0.907970,1.063878,0.635565,0.523577
7000,0.147626,0.180755,0.788382,0.713275,0.895782,1.057946,0.642064,0.527236
7100,0.144586,0.179484,0.790456,0.715395,0.880284,1.051859,0.651202,0.532413
7200,0.141012,0.177622,0.798755,0.718355,0.860965,1.042679,0.661965,0.539646
7300,0.137414,0.175468,0.802905,0.722323,0.840657,1.031757,0.672710,0.547748
7400,0.133832,0.173051,0.811203,0.726983,0.819768,1.019263,0.683288,0.556570
7500,0.130732,0.170921,0.815353,0.731139,0.801376,1.008375,0.692279,0.564257
7600,0.128202,0.169254,0.817427,0.735232,0.786397,1.000204,0.699501,0.570279
7700,0.125854,0.167637,0.819502,0.738381,0.772601,0.992418,0.706160,0.576020
7800,0.117892,0.159339,0.831950,0.752467,0.727288,0.947585,0.729508,0.602922
7900,0.115529,0.156740,0.831950,0.755846,0.714370,0.934318,0.736120,0.611348
8000,0.112739,0.153192,0.836100,0.759604,0.699859,0.916551,0.744067,0.622587
8100,0.119590,0.158837,0.836100,0.750073,0.746370,0.954844,0.723661,0.605034
8200,0.104745,0.136574,0.854772,0.787250,0.661598,0.834066,0.766163,0.673763
8300,0.100778,0.133068,0.871369,0.801167,0.641720,0.819234,0.777401,0.684248
8400,0.099371,0.129945,0.871369,0.811915,0.634215,0.805619,0.780721,0.693386
8500,0.098337,0.133796,0.860996,0.802930,0.626574,0.824599,0.783251,0.681785
8600,0.093360,0.129951,0.877593,0.811768,0.601770,0.807277,0.796284,0.693006
8700,0.101642,0.138653,0.863071,0.797368,0.639595,0.851901,0.772414,0.667932
8800,0.107042,0.139384,0.850622,0.799551,0.666720,0.861832,0.757058,0.666039
8900,0.089926,0.122488,0.877593,0.828078,0.583131,0.779022,0.803947,0.714302
9000,0.095869,0.132756,0.873444,0.809669,0.612415,0.835301,0.787131,0.685008
9100,0.090965,0.129410,0.879668,0.816008,0.586123,0.819056,0.799996,0.694601
9200,0.090390,0.129573,0.881743,0.815945,0.582873,0.821847,0.801257,0.694226
9300,0.087862,0.127893,0.879668,0.818401,0.567608,0.812013,0.807717,0.699054
9400,0.087693,0.128241,0.879668,0.819346,0.570017,0.819793,0.807919,0.698138
9500,0.090176,0.127057,0.871369,0.819682,0.576424,0.805229,0.801135,0.701633
9600,0.083633,0.124612,0.883817,0.824867,0.542326,0.801424,0.818585,0.708548
9700,0.079204,0.120821,0.902490,0.831668,0.519179,0.783659,0.829970,0.719015
9800,0.078638,0.119584,0.896266,0.832886,0.518068,0.774834,0.831043,0.722498
9900,0.077200,0.119791,0.902490,0.832823,0.508462,0.775909,0.834484,0.721976
10000,0.073096,0.113130,0.902490,0.841618,0.490619,0.734834,0.844809,0.739931
10100,0.083083,0.121078,0.879668,0.830702,0.534868,0.782004,0.818709,0.718886
10200,0.086699,0.131132,0.879668,0.816974,0.549659,0.837905,0.809217,0.691974
10300,0.087337,0.129243,0.879668,0.820416,0.552836,0.830703,0.807402,0.697170
10400,0.075103,0.123458,0.900415,0.828435,0.490518,0.798642,0.838681,0.712562
10500,0.074011,0.122968,0.900415,0.829212,0.484160,0.797898,0.841302,0.714017
10600,0.073974,0.123104,0.898340,0.829002,0.483286,0.800136,0.841262,0.713820
